Key,Title,Speaker,Content
"decentriq","How we Build Data Clean Rooms on Azure Confidential Computing at Decentriq","DAVID STURZENEGGER, PRIMO AMREIN","How we Build Data Clean Rooms on Azure Confidential Computing at Decentriq: This presentation will open with an overview of Microsoft’s confidential computing strategy and Azures Confidential Compute offering. Decentriq will then present their confidential computing-based data collaboration platform, a deeper dive into the technology as well as use-cases of their customers ranging from banks to pharmaceutical companies. In many cases it would be desirable to combine sensitive datasets from multiple sources to compute anonymous statistics. Examples range from healthcare research to customer analytics to anti-money laundering and marketing. However, the fact that data comes from multiple sources means that at least one party has to disclose sensitve data to another. In practice this usually means that such use-cases are blocked either for legal or lack-of-trust reasons. Confidential computing is a CPU-rooted privacy technology that enables the processing of data while keeping the data inaccessible to all parties - including all participants, the SaaS platform and infrastructure providers. Encryption in-use enables data to stay encrypted also in memory and prevent access by the operating system. Remote attestation enables users to remotely verify that a server indeed runs in confidential computing and even what code it is running."
"paxdevops","Kubernetes @ PAX - DevOps at a Swiss Insurance"," SASCHA SPREITZER, ESRA DOERKSEN","Kubernetes @ PAX - DevOps at a Swiss Insurance: Listen to the experience of a DevOps journey in the insurance industry with Azure Kubernetes Service and Aveniq DevOps Service. In this session, you will see how PAX is leveraging the benefits of DevOps and Kubernetes to streamline their software development process and shift their business logic to a self-healing, auto scalable and highly available microservices platform. Experience how Azure Kubernetes Service can enable developers, shorten Time to Market and continuously deliver updated products and services to business partners and end customers without interruption."
"axpodevops","Axpo DevOps Dojo","ARINDAM MITRA","Axpo DevOps Dojo: Axpo Solutions Journey to DevOps."
"lakehouse","Building a Lakehouse Platform on Azure with Databricks","HANSJÖRG WINGEIER, MATHIAS HERZOG","Building a Lakehouse Platform on Azure with Databricks: In this talk, we will introduce Hadron, a project that involves building a new platform for die Mobiliar to run all BI, ML, Analytics, and AI workloads. The platform is built on the Lakehouse architecture from Databricks and hosted on Azure. We use multiple Databricks Workspaces and UnityCatalog from Databricks. Our project needs to adhere to the pre-defined cloud architecture for application deployment on Azure within our company. The data on the platform is organized using the DataMesh/DataProduct approach. We began the project in February 2022 and have made significant progress in building the infrastructure, allowing for large-scale data products to be deployed on the platform."
"cloudcost","Azure FinOps: The Quiz","ROLAND KRUMMENACHER, STEFAN DENK","Azure FinOps: The Quiz: Are you looking for ways to save money on your Azure bill? Join us for a fun and interactive quiz-based session on Azure cost optimization. As experienced Azure FinOps consultants, weve seen it all when it comes to inefficient resource usage, unexpected cost spikes, and other common Azure cost pitfalls. In this session, well present several real-life scenarios that weve encountered in our daily work and challenge the audience to come up with cost-saving solutions."
"lawsofsecurity","The immutable laws of security","ALAIN SCHNEITER","The immutable laws of security: Since the original immutable laws, information security has grown from a technical discipline into a cybersecurity risk management discipline that includes cloud, IoT and OT devices. Now security is part of the fabric of our daily lives, business risk discussions, elections, and more. This session will cover the 10 laws of cybersecurity risks and show, how you can prevent against attackt during your daily job. A small extract of a few of this laws are Cybersecurity is a team sport&rdquo;, your network isn’t as trustworthy as you think it is&rdquo; and technology doesnt solve people and process problems"
"quantum","God really plays dice - Introduction to quantum computing with Q#","FILIP WOJCIESZYN","God really plays dice - Introduction to quantum computing with Q#: Quantum mechanics is one of the fundamental theories of physics, and has been tremendously successful at describing the behavior of subatomic particles. However, its counter-intuitive probabilistic nature, bizarre rules and confusing epistemology have troubled some of the greatest physicists of the 20th century, prompting Albert Einstein to remark “God doesn’t play dice”. Today, we are at the dawn of the quantum computing age, a multidisciplinary field that sits at the intersection of physics, computer science, mathematics and chemistry and may revolutionize the technological world. In this talk, we will dive into the bizarre quantum world and explore the high-level mathematical foundations of quantum computing, quantum programming circuits and some basic ideas behind it using a new quantum programming language, Q#."
"pushingazure","Pushing Azure (DevOps) @ Georg Fischer","MARTIN STANEK","ushing Azure (DevOps) @ Georg Fischer: Tips and tricks how a small team at Georg Fischer Machining Solutions can handle big infra and distributed system on scale."
"networkingvnext","Azure Networking vNext - How to build modern connectivity for IaaS, PaaS and SaaS","ERIC BERG","Azure Networking vNext - How to build modern connectivity for IaaS, PaaS and SaaS: When you are working with Microsoft Azure Services you will come across the topic of Network Integration. But is a classical VPN the right solution? Do I always need ExpressRoute? Should I adopt VirtualWAN? And what about my APIs in the Cloud? This session will help you to understand the available options to build modern Azure Networks. We will figure out how a solution-design could look like and which limitations apply. Also we will have a look into services that do not have options to integrate into a classical network and how you could mitigate this. Let’s figure out how to modernize networking in Azure!"
"sustainability","How can Microsoft Azure help with sustainability? Methods to estimate your cloud’s carbon footprint","WIBKE SUDHOLT","How can Microsoft Azure help with sustainability? Methods to estimate your cloud’s carbon footprint: Climate change and the looming energy crisis increasingly also have an impact on IT. Apart from moral responsibility there are serious commercial forces connected to this, including rising costs and risks of business interruption as well as influences on corporate image and government regulations. Cloud computing is debated to be both a problem as well as an answer here. Therefore, it is important to consider the sustainability of Microsoft Azure. Microsoft provides several tools to evaluate and drive sustainability aspects such as energy consumption and carbon footprint. This goes from a simple website to estimate the emission savings for Microsoft Cloud over the Emissions Impact Dashboard for Microsoft Azure in Power BI up to the Microsoft Sustainability Manager, an elaborated solution to record, report and reduce your environmental impact. Furthermore, there are external solutions such as the free and open source tool Cloud Carbon Footprint, which allows to estimate the energy consumption and carbon emissions of cloud usage across several hyperscalers. This talk starts with a summary about what is publicly known regarding the sustainability of the Microsoft Azure cloud in general. We then look at the different tools that are available to estimate important metrics such as carbon emissions and what their capabilities and use cases are. I’ll also show limits, in particular the complexity to calculate sustainability indicators for on-premises data centers in comparison to cloud. Goal is to give you an overview at hand helping you to judge how well the Microsoft Azure cloud supports you on your way to a more sustainable future."
